,Unique_ID,Unnamed: 0,referenced_tweets,text,author_id,created_at,id,conversation_id,source,reply_settings,lang,public_metrics,in_reply_to_user_id,geo,withheld,Hashtags,covid_hashtags,brexit_hashtags,esg_hashtags;;;;;
"0,0,0,""[{'type': 'retweeted', 'id': '1476916508265783336'}]"",""RT @TheElders: """"True peace is never won by diplomatic deals alone but by investing in everyone who has been caught up in a conflict, acknow…"",8161232.0,2021-12-31T15:38:31.000Z,1476940842531229721,1476940842531229721,Twitter Web App,everyone,en,""{'retweet_count': 39, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"",,,,[],0,0,0";;;;;
"1,1,1,,My thoughts on COVID and its effects on younger generations https://t.co/cHA9bfNqTV,8161232.0,2021-12-27T10:00:18.000Z,1475406173557997569,1475406173557997569,Hootsuite Inc.,everyone,en,""{'retweet_count': 131, 'reply_count': 214, 'like_count': 839, 'quote_count': 31}"",,,,[],0,0,0";;;;;
"2,2,2,,""Thank you Arch for your love, life, laughter and leadership https://t.co/YYBh6RYhUz"",8161232.0,2021-12-26T10:00:04.000Z,1475043727840366597,1475043727840366597,Hootsuite Inc.,everyone,en,""{'retweet_count': 144, 'reply_count': 51, 'like_count': 1414, 'quote_count': 13}"",,,,[],0,0,0";;;;;
"3,3,3,,""I’m so sad that Archbishop Tutu has passed away – the world has lost a giant. He was a brave leader, a mischievous delight, a profound thinker, and a dear friend https://t.co/YYBh6RYhUz"",8161232.0,2021-12-26T08:09:55.000Z,1475016006603001860,1475016006603001860,Hootsuite Inc.,everyone,en,""{'retweet_count': 772, 'reply_count': 197, 'like_count': 6577, 'quote_count': 66}"",,,,[],0,0,0";;;;;
"4,4,4,,Happy Christmas from my family to yours. https://t.co/EGjcgttVdv,8161232.0,2021-12-25T09:23:01.000Z,1474672016800239618,1474672016800239618,Twitter Media Studio,everyone,en,""{'retweet_count': 81, 'reply_count': 112, 'like_count': 930, 'quote_count': 10}"",,,,[],0,0,0";;;;;
"5,5,5,,""Wow - stunning Christmas skies seen from a @VirginAtlantic flight. Looks perfect conditions for Santa's special night. Thanks Paul Williams, one of our most loyal of flyers, for the most magical of pictures @pcwilliams https://t.co/iS0oFTswpv"",8161232.0,2021-12-24T19:27:28.000Z,1474461742776438792,1474461742776438792,Twitter for iPhone,everyone,en,""{'retweet_count': 125, 'reply_count': 71, 'like_count': 1792, 'quote_count': 7}"",,,,[],0,0,0";;;;;
"6,6,6,,Merry Christmas Eve Eve.,8161232.0,2021-12-23T12:00:38.000Z,1473986905620496394,1473986905620496394,Hootsuite Inc.,everyone,en,""{'retweet_count': 162, 'reply_count': 246, 'like_count': 2414, 'quote_count': 20}"",,,,[],0,0,0";;;;;
"7,7,7,""[{'type': 'retweeted', 'id': '1473346213961363457'}]"",RT @VirginOrbit: 🚀ANNOUNCING🛰️We've been selected as the preferred launch partner of @Horizon_TechLLC - a UK-based global leader in space-b…,8161232.0,2021-12-22T10:39:34.000Z,1473604115766853634,1473604115766853634,Twitter Web App,everyone,en,""{'retweet_count': 41, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"",,,,[],0,0,0";;;;;
"8,8,8,,I’ve really enjoyed reading a huge variety of different books with my @literati book club this year - there have been so many fascinating discussions and thought-provoking insights. Here’s what we’ve been reading: https://t.co/FmGQeMgF2x,8161232.0,2021-12-21T09:24:19.000Z,1473222790702637067,1473222790702637067,Hootsuite Inc.,everyone,en,""{'retweet_count': 48, 'reply_count': 72, 'like_count': 349, 'quote_count': 10}"",,,,[],0,0,0";;;;;
"9,9,9,,""When @oceanunite launched six years ago, protecting 30% of the ocean by 2030 was an idea. Today, the 30x30 target is supported by more than 100 countries. But there’s a long way to go – here’s the latest https://t.co/SjbuZuL5Zs"",8161232.0,2021-12-20T16:00:40.000Z,1472960147630788616,1472960147630788616,Hootsuite Inc.,everyone,en,""{'retweet_count': 16, 'reply_count': 29, 'like_count': 137, 'quote_count': 3}"",,,,[],0,0,0";;;;;
